Provinsi,Makanan,Non Makanan,Total
Aceh,451952,356142,808094
Sumatera Utara,472220,381537,853757
Sumatera Barat,537236,447789,985025
Riau,556747,528018,1084765
Jambi,464381,439908,904289
Sumatera Selatan,446364,393348,839712
Bengkulu,447384,447410,894794
Lampung,412617,376444,789061
Kepulauan Bangka Belitung,596381,615498,1211879
Kepulauan Riau,681525,783597,1465122
DKI Jakarta,692207,1184441,1876648
Jawa Barat,477814,506063,983877
Jawa Tengah,371605,385115,756720
DI Yogyakarta,434004,636958,1070962
Jawa Timur,427191,443221,870412
Banten,532389,602867,1135256
Bali,465993,633569,1099562
Nusa Tenggara Barat,410112,350529,760641
Nusa Tenggara Timur,312312,264315,576627
Kalimantan Barat,451222,409006,860228
Kalimantan Tengah,546306,498464,1044770
Kalimantan Selatan,531127,516120,1047247
Kalimantan Timur,587920,709006,1296926
Kalimantan Utara 1),549467,608307,1157774
Sulawesi Utara,484938,472520,957458
Sulawesi Tengah,420182,422730,842912
Sulawesi Selatan,407389,452140,859529
Sulawesi Tenggara,371733,434835,806568
Gorontalo,380934,393591,774525
Sulawesi Barat,357586,328356,685942
Maluku,431484,414623,846107
Maluku Utara,413580,395791,809371
Papua Barat,482624,526777,1009401
Papua,524592,411795,936387
Indonesia,460639,485619,946258
